seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
100902,-1,0.00,-1,-1,-1
100903,-1,0.00,-1,-1,-1
100904,-1,0.00,-1,-1,-1
100905,-1,0.00,-1,-1,-1
100906,44,52.63,51,56,-1
100907,48,51.81,55,59,-1
100908,38,50.51,46,52,-1
100909,-1,0.00,-1,-1,-1
100910,39,50.00,51,56,-1
100911,28,52.83,36,41,-1
100912,42,51.16,50,55,-1
100913,33,55.81,43,48,-1
100914,64,50.00,74,78,-1
100915,53,52.78,68,72,-1
100916,64,51.72,75,78,-1
100917,67,41.38,77,-1,-1
100918,55,50.00,66,71,-1
100919,50,53.33,58,64,-1
100920,32,50.55,39,44,-1
100921,50,54.43,59,64,-1
100922,-1,0.00,-1,-1,-1
100923,-1,0.00,-1,-1,-1
100924,58,50.94,65,70,-1
100925,-1,0.00,-1,-1,-1
100926,-1,0.00,-1,-1,-1
100927,39,51.61,47,52,-1
100928,45,52.11,50,55,-1
100929,-1,0.00,-1,-1,-1
100930,-1,0.00,-1,-1,-1
100931,39,55.74,46,50,-1
100932,33,55.32,40,45,-1
100933,-1,4.35,-1,-1,-1
100934,-1,0.00,-1,-1,-1
100935,35,52.17,41,45,-1
100936,55,52.50,60,64,-1
100937,35,52.80,43,47,-1
100938,-1,0.00,-1,-1,-1
100939,-1,0.00,-1,-1,-1
100940,40,54.43,49,55,-1
100941,47,50.00,54,61,-1
100942,-1,0.00,-1,-1,-1
100943,-1,0.00,-1,-1,-1
100944,-1,0.00,-1,-1,-1
100945,-1,0.00,-1,-1,-1
100946,47,51.79,59,65,-1
100947,-1,0.00,-1,-1,-1
100948,-1,0.00,-1,-1,-1
100949,-1,0.00,-1,-1,-1
100950,43,55.42,52,58,-1
100951,37,51.92,46,51,-1
100952,44,56.25,52,57,-1
100953,40,51.25,48,52,-1
100954,-1,0.00,-1,-1,-1
100955,-1,0.00,-1,-1,-1
100956,40,52.29,48,53,-1
100957,51,53.03,59,63,-1
100958,36,50.77,45,51,-1
100959,46,50.79,51,57,-1
100960,79,10.00,-1,-1,-1
100961,-1,0.00,-1,-1,-1
100962,55,51.43,60,65,-1
100963,42,50.00,48,54,-1
100964,31,51.64,40,44,-1
100965,38,52.22,47,51,-1
100966,30,52.06,38,43,-1
100967,43,50.77,53,58,-1
100968,37,51.72,46,50,-1
100969,-1,0.00,-1,-1,-1
100970,-1,0.00,-1,-1,-1
100971,-1,0.00,-1,-1,-1
100972,34,56.57,44,49,-1
100973,48,50.00,56,59,-1
100974,-1,0.00,-1,-1,-1
100975,49,54.79,59,64,-1
100976,-1,0.00,-1,-1,-1
100977,56,51.35,65,71,-1
100978,44,55.84,50,54,-1
100979,41,51.52,51,55,-1
100980,45,51.43,55,62,-1
100981,52,52.86,60,65,-1
100982,-1,0.00,-1,-1,-1
100983,47,55.17,61,66,-1
100984,50,52.94,59,64,-1
100985,42,50.00,50,55,-1
100986,44,51.39,51,56,-1
100987,-1,0.00,-1,-1,-1
100988,35,50.00,46,51,-1
100989,34,57.85,45,50,-1
100990,45,54.35,57,61,-1
100991,-1,0.00,-1,-1,-1
100992,51,52.27,59,64,-1
100993,57,50.00,63,68,-1
100994,-1,0.00,-1,-1,-1
100995,47,54.29,55,60,-1
100996,43,55.26,50,58,-1
100997,51,53.62,61,65,-1
100998,46,50.00,54,59,-1
100999,-1,0.00,-1,-1,-1
